scenario_id,method,env_id,prior_env_id,filter_env_id,switch_env_id,switch_at,after_switch_k,actions,actions_used,tau_s,epsilon,reward_mode,cost_unit,constraint_ci,constraint_delta,init_strategy,filter_margin,filter_prior_weight,filter_reset_on_switch,avg_cost_mean,avg_cost_std,violation_rate_mean,violation_rate_std,violations_first_100_mean,violations_first_100_std,violations_last_100_mean,violations_last_100_std,violations_after_switch_mean,violations_after_switch_std,violations_first_after_switch_k_mean,violations_first_after_switch_k_std,safe_set_empty_rate_mean,safe_set_empty_rate_std,safe_set_size_mean_mean,safe_set_size_mean_std,distinct_actions_pulled_mean,distinct_actions_pulled_std,pull_100_mean,pull_1000_mean,pull_2000_mean,pull_500_mean,regret_vs_oracle_mean,regret_vs_oracle_std,n_reps
E1_actions_100_500_1000_2000_cold,filter_ucb,E1_scan90_stress_v5,,,,,50,"100,500,1000,2000","100,500,1000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,,,,1096.4745925279299,4.998541743675601,0.05771,0.007722844244986639,6.0,2.300636714679067,5.5,2.4924127290882647,,,,,,,,,3.0,0.0,1.1,997.81,0.0,1.09,2903.677505057696,1016.3702182210328,100
E1_actions_100_500_1000_2000_cold,filter_ucb_online_w1_m0_r0,E1_scan90_stress_v5,,E1_scan90_stress_v5,,,50,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.0,1.0,0,1121.3791603151994,98.42606364635543,0.05633,0.009747369497521478,5.84,2.263991290985141,5.43,2.5712277458856354,,,,,0.0,0.0,2.94069,0.23594219866550178,3.0,0.0,1.11,938.5,0.0,60.39,27808.245292327338,99139.46268405774,100
E1_actions_100_500_1000_2000_cold,fixed_ccs,E1_scan90_stress_v5,,,,,50,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,,,,1093.5709150228722,4.958449996469031,0.05775,0.007716406501275663,6.04,2.3308211584605267,5.5,2.4924127290882647,,,,,,,,,1.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,100
E1_actions_100_500_1000_2000_cold,oracle,E1_scan90_stress_v5,,,,,50,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,,,,1093.5709150228722,4.958449996469031,0.05775,0.007716406501275663,6.04,2.3308211584605267,5.5,2.4924127290882647,,,,,,,,,1.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,100
E1_actions_100_500_1000_2000_cold,safe_ucb,E1_scan90_stress_v5,,,,,50,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,,,,3364.3718997443343,45.74493978326367,0.00386,0.001775364523673713,0.43,0.7142842712828139,0.41,0.6976873775321415,,,,,0.027422266800401204,0.009159750812041866,0.9725777331995988,0.009159750812041862,3.0,0.0,998.0,1.0,0.0,1.0,2270800.9847214622,40789.35965071413,100
E1_actions_100_500_1000_2000_cold,ucb,E1_scan90_stress_v5,,,,,50,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,,,,1082.9007323614067,8.0055832326425,0.33912,0.16875343797470566,32.41,16.049856036359916,33.76,17.360188985611927,,,,,,,,,4.0,0.0,1.08,262.28,735.61,1.03,-10670.182661465707,8336.33506717092,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,,,,1094.06546221833,4.95634994130069,0.08483,0.009490085203606828,6.03,2.337463876456142,10.81,3.237079991085619,55.51,7.156963127760352,5.75,2.0713290516970106,,,,,2.0,0.0,0.0,998.82,0.0,1.18,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w0_m0.005_r1,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.005,0.0,1,1242.970644179506,117.14660496311339,0.05049000000000001,0.02162279707936403,5.61,2.2288059039709482,2.84,4.747609712244465,22.68,20.420765822262315,3.87,2.0629242753083705,0.0,0.0,1.6265399999999999,0.2801267901966155,2.0,0.0,0.0,645.32,0.0,354.68,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w0_m0.015_r1,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.015,0.0,1,1276.390463711373,103.46092026892408,0.04253,0.017093595587266305,5.59,2.1977720582903997,1.13,3.2118939313530612,14.85,15.342141738731039,3.63,1.9261884695434197,1e-05,0.0001,1.54713,0.2526283114327722,2.0,0.0,0.0,565.92,0.0,434.08,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w0_m0.01_r1,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.01,0.0,1,1260.3932640713044,109.10521336736338,0.04661,0.019195377705388483,5.59,2.1977720582903997,1.89,4.067349669420289,18.93,17.877956066936544,3.8,1.9898733526523644,0.0,0.0,1.58507,0.2690629551580519,2.0,0.0,0.0,603.85,0.0,396.15,,,100
